data_source,image_name
0,fea4e5a39479
2,8620fdcbd04fe1f
0,908c1c1c720c
0,49d8bd6ac9cd
3,329361d6df4172f
0,73e3ce9bcd1b
0,394022e411fa
2,6a7e3d4e2976ea9
2,7ef97c770e880a5
2,92ff1c097420bd8
3,b54fcec737ad7b3
0,999819cbad54
2,98ee0ec0b0b64be
0,e81108bd1096
1,323c94776a37
2,20679e697087c94
0,46f4d8d8ee08
2,b1350f0ea7e8173
1,1345e9774a19
2,585eca0d2ea0dbf
3,1660a51714d4293
2,93cfa8ec51dca68
3,40651b6970dfaf8
1,14aef0e6ba4c
0,66a2a9558790
0,59b313d056e4
0,c8094a37d038
0,e6a4f12cc9c7
0,6c573d39d2b8
2,6b2448e68ed2414
1,fb6c066a2030
0,860286c29ce3
2,b47a747a98a20a6
0,599f3cea2560
1,d3d1dd0d98ca
0,7aa73b80ce90
3,8724d35e2f27c53
0,c23480ade4e6
1,a767db0e7115
1,bb232dc20b8d
0,27a562ef9322
2,0f87b5a47f480bb
2,456bbb4295c0571
1,e9a06688c0eb
1,020e1d676abb
0,e0e54fdfa6a3
3,b828112cb21352c
3,9786dd63de21f05
2,b1816c503d884ad
0,034b086194be
1,681247df3e42
0,7ff7abc10676
3,7ebdfc730dbcf67
1,418241b09c55
0,2a59fe79a2d1
1,ca151c8df229
3,ee8c15a0b29b751
0,a6b2c0b91b46
2,68ba25a2cf1024c
3,b910693a1054995
3,6dd7b8641fb0594
2,0bd6e09e8a823dd
0,3d94e3c197ce
2,5f26e7245fa0656
0,3e04c5301bb6
3,be606e940ab7809
2,feb7f9d495f6dfc
3,1ae30f3be16d957
2,348b11993ead958
2,336225dbf604482
3,794df26165c9863
0,78f01a19be35
3,753355bbf5ee4d9
2,705aee09176092d
3,0c7b96ff0b22d5f
1,a17f7fd861e2
0,8a004b947545
0,4888d28f26c2
1,726b5009cd10
2,1d516078219435d
3,bff6dd64b4c20b1
0,eb28132ba2c8
3,3f57b1de4ee1de9
1,cf95279167aa
2,cdea7b270cd2e79
3,c0382adea2384f1
0,f5e00a7a8849
0,d949254f8d7f
3,851f37d511d952a
3,e50633df491ccc6
2,7edca39b013b9de
0,09c62455f86c
2,06eb6a79250fae1
0,8c31d2337d56
2,e001f0b982685a2
1,9f997ec948c3
0,557a5de3d2eb
3,2a509a2191eee6c
3,1ec61b03747d738
2,3ce17713e8dbeeb
3,3a703e540c36337
3,cd66692537b9a02
3,4e089ebca4b3e48
0,f07bdbda0f5e
3,b6d4d8a01725be4
1,d860850bc68b
2,c72c2c02594e70b
0,f1bceee3c6f3
2,61e08bf2dc42b6e
2,185ad0c00af7cf9
0,682ef718462c
1,61549498e9e9
0,ea600c607f5c
0,bc948515ca90
1,31a320a29b9f
3,8c20accb1f5b5c0
0,2375cf8a7276
0,63311b596473
1,856aab155c57
2,5168993e87480e9
1,2c57dbc6059e
0,874aea1130b6
2,96e5b7973b5f4ab
2,f29665d2b0027a0
2,f859baaddb43e4d
2,ad804dc13ab69c9
2,a055e3fcef67027
2,85bf7a204e2ea17
2,f241419776d3a61
3,0bba7b5f4152a4e
2,044a6db47da742e
2,13e6271351c2e90
2,461bdba4e239e91
2,a13570fc9be12d4
0,cb708345976c
1,5ceba9a51e3f
2,3c12d390fc2ed17
3,a1e2b5ef5264104
2,728a4f439531f63
2,71c14a0795d498b
0,16315d0db9c0
0,c4f463f3ef0c
1,1a2d63781b84
3,b383293e7fa4829
0,754ec59369c7
3,29fbf1ba21e68bd
1,f8d1b2aba345
2,60b3cb65b842439
1,e9d63e6da671
1,f414e5c42b9e
0,b883e0ca6a4b
1,3e6b3b0c6ac4
0,3594de6cfc83
1,149c4c749d93
0,cdf2a4d068ce
0,b7f111381dbf
1,78d439a475fc
0,d9896909b874
2,cf7d7a110f41930
2,cac099d4e2459b9
1,d7d373528fbf
3,f2d136fdbec2c7f
3,bbd795650d8cd46
0,1665a00a7df1
1,99780701b812
1,1380f217577e
0,91f9a57a4870
2,65524f15165cd04
2,87fa8aeae6103c6
0,7199bf69e780
3,df6c1ae72ba247f
3,739caee2c391ebd
0,8be5d79ac3b8
2,f8f6cd524406fac
0,dc6d69b12dc4
3,afe9a25bede1e98
0,52d5ac711394
2,ffa339a488093fe
3,4adbc37f0d47e25
3,cef3d3ac6a35db0
3,dea86f3e9ea3780
2,271e78513839c35
2,091652ad727276c
0,c72b9265551e
2,e0567028267f437
2,b713e30c0f34731
2,f6163e64a04c0e5
2,d326b29d7062977
0,7dd29f319412
2,7e974e87e0e52e0
0,36531d0f9a58
2,c5ce14fe87fae3d
1,529d46b14d87
0,d628c41b49b5
2,a8d787e460a7023
2,19c5c0cba4f6b82
3,eda80aef68373a7
2,fd4e3195b6e9c33
0,40d89af19a3f
1,6f930dcb47d9
3,c68574cf9205f8d
2,83fd36e7da32ad0
3,dd37031355a0d2d
3,dc5df18e659ab31
2,af481654ff1b1b3
2,a4857d13ece927d
2,7d03ba1e7abdf3e
0,85bcbc1a7d16
1,92e086b1b578
1,4f6232d1d702
0,11f15f78dff0
2,043a870720a894f
2,fd27678a81b68bb
3,a6e77e0a972a463
1,7a782e63ccf2
3,62db7315d2c4ea3
3,1056080207e576b
0,029acedf23b8
3,c361f9c40e75f80
1,9169db3b7c20
2,14f6d8aa5782efe
0,e7e4cdb4dc3d
2,e2062048f135a66
3,132db259dad2c0b
0,4d4edc76ba75
0,e0a526bea1b3
2,e9f9591f133bba8
2,026621fe3841d87
2,767f38c5ab7399c
0,39e655e611be
0,f80f7b2027f7
1,42bd27545832
2,a16644328e60f67
2,515a26f93510a7e
2,a311348d2e91629
3,622864448d7a47c
0,a06b8790f725
0,c30e5565e2c8
2,420cdac0cc20c83
0,87bda1cc55cf
1,8b221a3a1e03
0,aa48205a97b1
1,7582fb34911a
2,66d7dd56d0e2d73
3,0a1e3092344c866
2,554773b4ffcf4cf
3,fcc0d954c57aa78
2,1f4b2ca67b572fd
0,965e1582a61e
0,8378b63df108
2,b860efd133fbfd0
0,2ae6152a0277
1,dd4f618614c2
0,ed8871e98392
3,172fd216f9f63bd
2,e6131966a55e4fc
2,32b001d80ca2b68
1,437184af825d
3,6fa2022b3c4485a
0,c322a7c923cf
0,0bf7af9a3f3f
1,f851f8578d92
1,34c41f643081
0,a93d31e3179f
1,863b3b3d1100
1,043919084b02
0,699edf816575
0,93b8344860c8
0,a9511f463662
1,066ad9c59bc5
3,5c6032e036121ec
1,3d62ba976516
1,bc798ec6dff3
3,684c00ed5b2e641
0,dd0b7af84b2e
1,2734961fd713
1,a07e0dc71131
0,0cba83630009
3,4e3034f317b271c
2,4641b03dcb82521
3,d73c0edc8448fa0
1,b824c61e3650
2,aa2c73c1d373339
1,043900203054
2,2589fc90f25e9c9
3,5b1ab68a129752e
2,55db880492487b2
1,48d175ac7d70
3,9fa6a554a75a67a
1,2997a5a09dcf
1,ec61c371a403
2,354e1a3c82f2ce0
2,60ae4b89508e83d
1,57cd04a5f4e5
0,df065afab1b4
0,1014a2e89867
0,c89d3c2402c5
2,1a1699a493c4d84
3,09f5c23d36871c0
2,e37a81cb8600f44
0,dbcebcb5a330
3,2cd713c5493d096
1,18357bec88e0
2,ed9da632f36cb63
1,77ad152d45d2
3,1f716959ed49fb1
1,ad135be26f62
3,e14b1e514b4ff7e
0,81f6fab00caa
3,26054b10d221704
2,1fc8ae49e173281
3,578ff4adb73a88d
0,1e14ae281e2a
0,4756a6cd3451
0,ae32cc30adef
1,6972f6d46f09
1,0e5be17b1aa4
3,8e2627e56064515
0,f109bf386165
1,34ecd12d728b
2,708afd4fc46ee94
3,9bbeddb4e01d1db
3,eeaaf7d3da23f42
2,10589d832abee6c
0,c34b8e099d61
3,512c360b2ec2f7f
2,09a74526c1ede4e
2,99b4d10a2b34573
0,56d8cdd6ccbe
0,cbf4b9ef10e1
2,3d8f17d13b73469
2,aed8e3022098b47
2,64f0ccd5c23e1c1
1,422f66f2b385
0,31aee68a800a
2,77678f5e5ad13d2
1,6b8130e66dcc
3,c80951c39c66d78
0,4fced2b81048
2,e90c5022e30e167
2,3f496f81a7ea377
1,846e828abab4
0,a4ad9016abc8
3,1513644058e2eb3
0,c0abfa607e68
2,f375d1002b60f50
1,2b84970e858a
0,acb32b9055f0
0,fc13969b9d09
3,e474657226b07b5
0,2bced443bb70
1,aca0722fdb3a
0,2625e24f1e18
2,caff4a8333fdbd3
0,b316781a89d5
0,b710b3db7745
2,72eb863719f0e87
1,233f8ad63c66
1,de915a29da69
0,57763bbce639
3,563477656404e01
0,b65a5e3159db
2,91bf601e4097cac
1,68bcb3134c69
2,810f7b840750b3b
2,1b168217d89c66e
3,9b72c6b3518c770
3,764d4a2cc369f81
3,51dc54a4c8fb5d9
2,ba3d09e8d46962e
0,044146b5d0d4
1,e7f85a1e3560
3,3f98de990c2f64d
0,b6157a67065c
0,a947f6713781
0,1d591b3aed48
2,e4dcc71ba4dfbd4
3,9c45cbf55560f34
0,80ab2ef8b1b3
3,ac733e952e08057
3,677509931c3c7b9
0,c97c48725670
1,84263b21b754
0,0bda40fa2c25
3,64537bd47e7a235
2,bbaa0d763537956
1,df74d5ed0df6
3,2f7cc9471eafad2
0,feaa2e0735c1
0,dea8f4a76b2a
3,a9b075dec768bbb
0,5f639d902fb7
2,2e4d7d61166a44d
1,9e60cf2a82bc
0,fa7871af1c73
0,a4d6eeadf3fb
2,523c212d55c8338
2,b13fd831f6bd598
0,91b88e601c40
2,16265ea316dffb6
2,cc1e45de5fa12fc
0,83542541d88d
0,5890d94c466e
2,b8d8c3a3c539934
2,f84602dfb0e02cf
1,bdc544d91461
2,9ad00c7360687db
2,9abead54bee48c8
3,9fd6d1f49c5f340
1,f0a15226f64b
1,dc38fc0abe4d
2,b292bcbe3458f4e
1,d5aba64770d8
2,c12dce647956379
1,338f0f910977
3,56d3d28ebe8859f
0,6d20eff8b6fe
2,a41f738567e0269
0,baec7d847cf2
0,9b6b3f5c395a
0,d427514a3fd2
2,631174c37b26d02
3,4641515799182ce
1,8849ceb0d244
1,3153f5a68531
2,79256c8862d354e
3,f8c326dff148e9c
0,64fc4de157ae
1,aef76aef5d9e
3,14d28cf3fc5dabe
3,8d743d0c77f431d
0,408231c467a7
2,5d11bd486e05d6c
0,1d9865d116ff
2,f1a01fa2329d65f
1,7c9f82c0cadf
1,fae16f49e5f1
3,d2db4881960e42b
1,4948e29f9813
0,beefe9d7f591
3,4c44df101994e5d
0,e5dfefe7a6a5
3,34bad041118cfb9
2,7e0f66333ffd3cf
0,3a80dc6159ba
3,16f39c651fceb47
0,7b6969b95e72
3,c44c7c69a5fedf8
3,ee42f3fe75868fe
1,488bd4049292
2,a2cc39ddaad5c0e
2,91589301e5c5725
0,24d6e8f06a4e
0,e7c592169efb
3,6346e60a3804a6b
1,5326151f00de
1,35715ee581b2
2,77bd13421461a69
0,fe3d065474ae
2,1b4740244305447
0,9780698748bf
3,12ba69ce1f688e1
3,ff504585bdb247f
0,90b91ecebbce
1,491676e2ed3a
1,f204de6a6936
0,c0b80aa5a533
3,e184126aa9e93c1
3,92b850113dec6d2
0,acb361dbc80e
0,f281bd3715b2
3,14ef0180ddaf6a6
1,d7d05251b8d4
2,cbea78f420bed25
0,a61a87675265
0,aa6dd8a591a6
3,842fe82e10d8d07
0,39f3822690cf
0,043400400426
3,c10482f134352b6
3,7cbe0649cbc5fff
1,3904b5056ff7
3,5c90f93cb9af379
2,6caa31eae752bfd
3,b649b2b08e6d7a6
1,4f0e71916a0a
1,9e20d91d8e82
3,929e72ba14c9a93
0,378f0903a292
3,5328fdf5a548ee6
1,d4a28324ef85
3,46b9d6315f91c1c
3,7c31919422c048e
1,bad8cc2d01f4
2,dbc80a35d101682
2,7ecb689f1c12d41
3,57d002883600567
0,c1193cc1e628
2,43315017a364cc2
2,4cc932c8d34bf52
3,9c0ebdbf720539c
1,5eff13dd6821
2,083950df5a1b01c
2,832c917399ff210
2,ccc533534ed954f
1,4d1a29b01aa0
2,b3edd9da7a27efe
1,25a6032fbb99
3,d812a45253aa9c8
2,28ba588c761c575
1,f97bb40e1f57
2,116d086e4242028
1,e0f22eec7d29
3,8df161d7f3e59cd
1,14a21db59627
0,207de4d7f86b
3,c0624e6d9179c1f
1,90a028fe24ec
0,6bede1110b71
3,d0e204fa8d4ce39
0,7971cbcfab9d
2,825edf30ca299da
3,3e8e109cab7646d
1,530b0a738d17
0,c0d32fd0ff35
3,6452ec1221c4ef6
1,b6439d59034a
1,c669c18af41a
0,803ea216eb79
0,625b905420df
1,6533aca8462e
1,3b92defd1f60
0,a1d00dfb9e5c
1,025e5cedcd8f
2,0d72a6b9c5af7f1
1,525872fecd2b
1,66e6dcc58c21
3,97b818e2f40024e
1,07466ec87055
3,0550b883d8340b1
2,be975556950d8ef
3,a56be94e5d6be0a
1,4fbbe003337b
2,a97f0581abf1953
1,a193fa05d512
0,83e29dd8c573
2,757a6a93428be2a
0,5a653326b01b
2,2de1f61bb9cd750
3,c8377daa96554fb
0,e05c5c5e3757
0,e608f97de291
2,80d54b130b66a8c
1,fc1beee82f73
0,a6fc228e7eb1
2,43935e77193869f
2,6774ef0b3ab4fb0
0,359d2e23edde
3,74fc764c129e3f1
2,bbf1dfdf2a21509
2,4994bcaec9f147a
0,794da9666bba
0,459d8ac98296
2,fa0b3f917159b0d
2,e4aaf212d1a0d60
3,83f20bbe7920d49
3,8667ad9b1154340
1,bd5f01441031
3,7a21a591455575f
2,b09bd8cc1bf455c
3,e44a8e3b440c742
3,bc1d10760f7d38a
0,263c2e9ba75e
2,2380e4f5e3e75f7
0,00268323cce6
1,428cf77c03a4
0,d92cfe724f87
0,617f370a592a
2,ccfa55c18ad3370
2,b5c8af647b0d1e0
2,dfb6f42e6bba7f4
2,592cd004bc09d13
1,3e14eda501bb
2,c08029183d9d17a
3,b62427c0551c3b9
3,07a3f19179e6fd8
0,c803ea5003b7
1,f61de8775b69
0,9857d0b419b6
3,2932e402739ec88
1,dcf8c58c111b
1,02069b859642
2,0e1bca28ceee331
2,d0b3f126344e636
0,e375bd4ee611
0,ae79d9271933
2,73b3e90cec53d58
0,b9de9b8218f7
2,1f24a314f2e2df1
0,ecc165648384
1,ebe71703e133
3,46ae35ec822c133
2,35e802fe1770c2a
3,39bdb9e570c3798
3,d27d542510e2457
2,f5255fe0a6a9778
2,8d96c836ea31bd4
2,08bab9e3a099182
1,ffa7d01ea135
0,feb06e9832d5
2,ec76a5844dbf8b2
0,9843bf7d1913
2,3e95649a8b1b4cb
1,f29ef22348b9
3,e62521d8307f402
3,b5493762710e6ad
2,971f4d5f678df0a
2,60934c76fcda219
1,f56bec30ac7c
3,47e10a2eea34bf9
0,4a780bd94385
1,a23e2cbe9fe2
0,8cfa38cfb266
1,73b3dfb2a8ef
1,2b1dc2332f4f
0,7f2b50327d83
2,8b86dd22951bb30
2,6174f4e576a5c90
3,d46a99c7a1d1879
0,9c81dbf7fef5
3,00e6cd4757a7d51
3,c7a96c7e2a64528
2,ffed0c1d38af4ff
2,08206f18b774f76
3,1766cb49cef963f
1,5e5f7f163580
0,72d0fe804bf6
0,07dc409a1fe3
3,d219fa7b2a83fcb
1,422a02025db3
2,0012ef703e41ef0
3,dcd254c5f882cb9
2,41a5d0bef9b3d7e
2,95eb3010137d7a7
2,73cb2869d77a718
3,25298b51e3a1ef6
3,519d1a342958faf
0,a5781fef19d9
2,a5de0cc4639ff07
3,6851a14dc70010f
2,fed2dd524ff6a26
1,b98ee6cc074a
2,af56d1baa635786
3,a811ab62243158b
0,50d118a527bb
2,c8f64f325923e99
0,250e42735694
1,a9c1b55e979a
0,43f3d885d4db
1,36e84a1901b9
2,14b413155aed657
2,c3bdb9bae3bfe88
0,f3e921d3eb1b
0,4519c8ca3156
1,c61fea6b0bc5
3,79a14a0b5a51935
2,f69e35eaf86b2b8
2,f8bd4e4d58996e1
1,11d911b970f3
0,6468ffe953a3
2,9d81eeb0e62531e
2,8a1bdd8a71bd5b4
0,e2e0e0555876
2,b09b4c3b260560d
3,3eb3ebb162b925a
2,780cff3a9fec55c
0,9ea55fd90505
0,419c29217e86
3,d2a64903affa29d
0,7ea2d41799db
0,6431570cf42c
1,83e11f60c4dd
0,37985643d156
0,eb7af64ad4cd
2,29515404cdc969e
2,44c7079cae51608
0,e91e06093110
0,964ad15e4dab
3,8d5bc1c9f83df6f
0,943fbe9e7071
3,1e9ab8cfa25a182
3,3b03389f7e4fa4b
3,ed578d90464de38
2,9e34fcd327134c0
0,338b63c4b34c
3,27764e1cd44497b
0,bb3b97a2c541
3,f589a069afa16ea
2,910a1f4704c1444
2,a1e9cfb252dd70e
2,d9044ad33eb64f4
0,fc21741c023c
0,2a1b72822b63
3,4241ab718c4cbb4
2,75020dfc2d68545
3,18df1086ac47e36
3,05b454461453efe
3,2d5e46e4b3eff37
0,28fac6fb67dd
0,17a7a0ada01a
3,bd4f98d38f5f357
3,a973daa3ef39a19
0,d51505eb38c6
0,9b36193f6c75
2,a208acac9d007d5
1,ba97daa16605
2,4f7e13f5c22a744
0,a27c95c29684
2,9b4432629fdc84e
1,c3a57524dee1
3,cce1f875182c403
2,0ecfe48f4f995f6
1,c128f455f5d2
2,bd307ff3bebf6dc
2,3e8945284319c5f
2,91cc26a984bfec4
0,dacc8c4e01fb
2,da4dc7498c65743
3,8759de54bd13890
2,df69c9eb72b8fda
3,519bb9960f0fb90
2,9eaf26cc6a68540
0,34fccd6b72d9
0,869f87829d74
0,dcf3a68905ef
2,00de4ca5f62307f
0,9490af73e12f
1,43ef1e095d29
2,29cba0ff597780d
1,67abc06d5f67
0,00dc63653fc2
2,562602d83f667f1
3,a0d275ccce78eed
0,1c19e7b994f3
3,3dbef9d3797a5f4
1,a98dc500ec08
0,96664ec64b72
1,cca7ee0d57f4
1,499b312c2d4e
2,09e51bd7adfddc9
3,4120f8529cd8a22
2,d6f9c1a6f1cc788
2,86089b47bad2b90
1,80ff53230514
0,e1ee05a20c6c
3,75a3ff44bcd38fc
2,88983929a7147c1
1,9a52f4e2d6cb
0,a771602caa53
1,d0cfe866adae
2,058078fd6e6879b
1,c359611b8830
3,a42c969451994de
3,fad4feebf8b7b1f
1,5e7300397046
2,6ab3ab6e0c8ae06
1,323102b73f2a
3,e57dbc45edd7697
2,94fb78dd8d1032a
2,309c1ebdcaa6b80
0,9554eeb40ba0
2,e4a8e6fcb2c8a05
2,79dc0852c8f4647
1,10c59635e159
2,d0a10f3b6647dbb
0,7e563e8b952f
0,ccd313ea75c2
3,923297e191c811a
1,5b47cef5de54
0,e7e147268479
2,6779134dfbfe832
2,887a3d5befdcea7
0,366cfde9b8dc
0,383b35d582d6
3,fc3eef3a8ddfc3d
3,2056b92d6d8c19f
1,3b4155857be9
3,ca7c065d317f768
2,08a47910597c956
3,8d0c14172bcd3f9
2,fec3cc7cc54c02f
0,dc1907809975
0,7145d3337f57
2,615877af8be6816
1,c7702dff81e9
1,2d7e64adb7a3
2,40b7b87d40e43e6
0,a4337c871623
2,403be80418cd8d4
0,93300fcb2de0
1,143ebc014beb
1,aaa45118df38
2,8f89037ce33cfd0
3,78fe5d1c1fadf16
2,ed6236a57cbc670
2,920d8e4011a947c
3,d0e3af03c867583
2,1ffbb1151a58c3d
0,df409d7e03e4
2,9db906ff47d26e1
3,34b9ea8da168d6d
2,012deb8689f13bf
0,cc2ce06b58a2
3,596bfbc437fabe3
0,d66a42445908
3,9a67b43bdcb67f7
2,02e586e81bbfdfb
3,4b1bf2c81d49189
2,c6c1aad6476d56e
1,6f3738f1c1c2
0,099e8de5c54a
2,48246ef54ec537b
2,8be96b4d2c634cf
2,72252469f597505
3,8cb39cd3e94a370
2,7c1b90a8608ccb4
0,7893915fd1a7
1,20a64596ba56
0,e9e0c07f39d0
3,70c4b3d0b490ed6
3,68747bd3c11f808
1,08fa90687dd2
2,018124918ba32c9
2,1826d475dbe9116
1,c234012325f6
1,d9bc067e2f8a
2,1544e5f8cd35a81
2,61a89f36f3bc67e
3,3b7d5893e5b4deb
2,022a7ec498c6d2d
1,f0cda5eab118
0,9fe62d11b7b0
2,47e9165d84a466f
3,d9db92cccc9f8a5
1,53f7b32b079b
3,1188e70dbd529f9
2,d864cf32ed0c253
0,c853dedd60cf
2,bf45190d8d5791a
3,100bd45cda77f22
3,922b008ada6e703
1,5e5f5206208f
2,5d465b9a4f79b91
2,a94b345b58a57bb
3,8106ea5db25444a
1,3849c58aa1e1
1,3739c167a41b
2,29972ac0da9150e
2,e45a315bb507466
0,cc392e955787
1,6824cee515aa
0,05b3e2254c7f
3,321fdd9728d5372
2,b1df95bfcebf61e
3,fdc52cc4be61d28
0,de286730956f
2,94fa271d23d951a
2,bb110a308658e69
0,c64c333cf508
2,f73e3d0dcd8fd28
1,bfad61ce6194
1,59e52c5db229
1,48e505c41997
2,56a7111d2c250fc
1,93a8bbfdaff1
3,fb85ba12f1c47f7
0,639155733139
0,0580554077a2
2,2976344312b5795
3,c91f9f22a971f6a
1,6dd5f7ae49b5
0,228e1fdc1e12
2,f36112c63636586
1,89974781ae33
3,3d8cc710a7d6a43
1,e4a6849f1a89
0,7e53bcd545cb
1,c3dce72af8ae
0,d7237eb071a6
3,dbda309b959df0f
0,2e20bf7a27c4
3,7081d7a90d9024c
1,bddba7048873
2,aaeb9b6959ee6aa
3,d3e7d97acac2711
2,75cc3857ffa685e
3,def46b451c64d5e
1,aed176282a8f
3,2f43b09e31a4f55
3,add8a7e96662d19
2,6c150cf68ef80dd
1,3df5f32c0f98
1,928ca5f3eb0c
0,fe76ba286085
2,b32482e7e8e243d
2,8d2b08ff899ced5
3,76c71e41880dc22
0,5538a2f9674c
3,527b0e6635e90e8
0,6bfc938d6a2c
3,bff7efd9954d19f
2,c8970e40d391efa
0,89bd07561fea
3,d85561d874f9d0a
2,3289597830bed50
0,bb9dc2818496
3,be28bd46da53883
2,5201dd0e80fd728
2,07b847bdb87e250
0,16bdeb800108
0,5fa010cac0ec
1,89912bc260df
3,6e597f15b8edf3c
0,4648750b98c1
2,7267ccacff29763
2,30827d61b2b7eee
0,ee5c03faf30a
0,6fda1db1d1a4
0,78ee4b6426cb
1,21639db440a2
3,b3b2a5324f4acdb
2,f55c9917ec874f5
2,cf0e42b3f74cade
0,2ccd99466d19
2,67ba0383946547f
1,02f80a1c5248
0,ce1ce0e497dd
1,b58877c49998
2,65486ff80187778
2,21a111c5ee7304e
2,ef48d8bd754af7b
2,3999df250d3fbd0
0,b19803d449b8
0,270d2c6c9792
3,92a71b960a93268
3,6cf616d0295aa37
0,61259b7748bb
2,abb375407094398
1,9eedfb19285a
2,36171d867aa776d
1,15dddeb48759
0,994b7e0c6ef7
2,203ef54b550cd27
2,ef49a21e5654759
1,71e45fa81064
1,df4f3426d0e8
0,c91c82c92409
3,1a6a0d67ee08d3b
2,49e2b33134815bf
1,124302926d91
0,5cefe08af52a
2,ed190655dff5a20
2,1b96918d5eea617
0,3debea99b6c5
3,604a12321468444
2,725072d7cd02a77
1,d46da36d53c7
3,bd36aa9328c87a9
0,7e86ed2003b6
3,ba3a06417453c5d
3,ff5d895b5244582
1,7fd9c8220703
0,e938ea120786
3,20fecd55e02342d
2,e0ff55296142aba
3,34b40403e514a07
1,4bd16b7c2531
0,f0e4bc109816
0,6442c25e936f
1,56742fb422b3
3,45207f002b8b974
0,619801a493a5
2,74f52ff96d56cf4
1,b7e322cb53dc
1,70b6280f312d
3,760a483f39f0f93
3,0ec8254153de101
1,ae2deb069595
0,0b070c52c9bf
0,0b16a8684af1
2,da9b91235273729
2,3c35d9f9f529f9c
3,6605395c8867364
2,604a32a8f04af84
2,718e61659983444
1,2baf62cb8c3e
3,58228c2e398b6ea
3,e5b23b95f3689b0
1,29da0016fc57
2,72884ee08bff4ee
0,b6a2e594146c
1,b20daaebf9ad
0,5a0fb6b7b591
2,d310c35fbc1272c
2,9c9b22af20906bb
0,931a687fc6f6
2,f8cbc281770bc2c
2,bb2e191e19c4545
1,4c327de22947
3,f7d83cbad9dc9f2
1,e7682e51a163
3,1f132a4262950b4
1,fce8071c1fdc
1,840359c41fcb
2,7c49f375bb621dc
0,d063daa2cb69
3,4f6771a84a0f460
0,5af655844c67
2,fb09a8e49b19c54
0,fb6b07c35c23
0,a02d8dde795a
2,1b3a86f7a5974fa
2,1ac82841cec75d3
2,d82f6bcb3a53195
1,fbeb3b3de268
3,a0578aee9864b16
1,76f7dab8b4de
2,66a628679116179
3,00c8490baee2ee1
2,765dcc566cc1323
0,44f0d795610c
1,1112aa6f1944
0,9d60bc9b427b
0,f1b5d5b5c77a
1,0039db15867a
1,408be3849e31
0,1fdb23d53422
1,51d60b9e3453
0,dae87e41135b
2,b6c3b4cfe423c4c
0,b951ac019aeb
2,0e28f9d49334630
2,a717e2a31f8db74
3,26b617bbc16bea5
0,2aba01eb6c46
3,6a3346a00825a21
2,5488c8c34f05f6b
2,8823c6b2c861a4e
